Country,Year,Deaths,GDP_per_Capita,Democracy score,Population_2020,Deaths_per_Population
Jordan,2021,3233166,4152.75795426388,3.49,10928721.0,0.295841205938005
Jordan,2022,283863,4311.0000506816,3.17,10928721.0,0.025974036669066766
Kazakhstan,2020,342310,9121.63640904156,3.1399999999999997,18755666.0,0.01825101811900468
Kazakhstan,2021,3598679,10270.8873391027,3.08,18755666.0,0.19187156563781846
Kazakhstan,2022,402319,11484.4168149009,3.08,18755666.0,0.021450531268790988
Kenya,2020,158497,1936.25075454374,5.05,51985780.0,0.003048852974794261
Kenya,2021,1320390,2069.66112881918,5.05,51985780.0,0.02539906105092585
Kenya,2022,120088,2099.29856841025,5.05,51985780.0,0.00231001631600026
Kuwait,2020,132226,24656.4337134064,3.8,4360444.0,0.03032397618224199
Kuwait,2021,686533,33358.4631538575,3.91,4360444.0,0.15744566379020117
Kuwait,2022,54424,42823.8278348699,3.83,4360444.0,0.01248129777609803
Latvia,2020,22288,18096.2027073394,7.24,1900449.0,0.011727754862140474
Latvia,2021,907184,20930.3982374189,7.309999999999999,1900449.0,0.477352457235106
Latvia,2022,102999,21508.4003332167,7.370000000000001,1900449.0,0.054197192347703094
Lebanon,2020,93678,5599.95752260733,4.16,5662923.0,0.01654234041324595
Lebanon,2021,2550399,4136.14657516013,3.84,5662923.0,0.4503679460236348
Lebanon,2022,204893,3823.93806860546,3.64,5662923.0,0.03618149143119198
Lesotho,2020,6015,910.93494753765,6.3,2254100.0,0.0026684707865667007
Lesotho,2021,144317,1054.9327396161,6.3,2254100.0,0.06402422252783817
Lesotho,2022,15011,992.857328462257,6.19,2254100.0,0.006659420611330465
Liberia,2020,16107,624.289710007737,5.32,5087584.0,0.003165942812934391
Liberia,2021,61434,676.44292696753,5.43,5087584.0,0.012075279739852944
Liberia,2022,6317,754.5328485722601,5.43,5087584.0,0.00124165026071314
Libya,2020,111938,9872.11114427602,1.95,6653942.0,0.01682280969686841
Libya,2021,1301431,7094.999820173279,1.95,6653942.0,0.19558796875596451
Libya,2022,127788,8211.38094790285,2.06,6653942.0,0.01920485630923744
Lithuania,2020,59259,20381.8557827478,7.13,2794885.0,0.02120266129017831
Lithuania,2021,1630370,23849.6156993566,7.18,2794885.0,0.5833406383446904
Lithuania,2022,166710,25078.7453655669,7.31,2794885.0,0.05964825028578993
Luxembourg,2020,43539,116905.37039685302,8.68,630419.0,0.06906359104024466
Luxembourg,2021,283934,133711.794435985,8.68,630419.0,0.45038934422979005
Luxembourg,2022,20441,125006.021815486,8.81,630419.0,0.03242446690217141
Madagascar,2020,36344,462.40422881838305,5.7,28225177.0,0.0012876447152129463
Madagascar,2021,269475,503.3520811908579,5.7,28225177.0,0.009547327196566384
Madagascar,2022,24574,516.772196977613,5.7,28225177.0,0.0008706411300804243
Malawi,2020,29150,621.417772482775,5.74,19377061.0,0.0015043561043648467
Malawi,2021,557423,632.533192648231,5.739999999999999,19377061.0,0.02876715927147053
Malawi,2022,53609,643.433195658657,5.91,19377061.0,0.00276662183186604
Malaysia,2020,49640,10164.344431073,7.19,33199993.0,0.0014951810381405803
Malaysia,2021,4290118,11134.6229528189,7.239999999999999,33199993.0,0.12922044893202236
Malaysia,2022,697715,11993.1876132994,7.3,33199993.0,0.021015516479175163
Mali,2020,31265,822.906136832132,3.9300000000000006,21224040.0,0.001473093718255337
Mali,2021,178577,881.510088733585,3.48,21224040.0,0.008413902348469001
Mali,2022,14992,831.223466645115,3.23,21224040.0,0.0007063688157391335
Malta,2020,11597,29592.5714840718,7.68,515332.0,0.02250393920812214
Malta,2021,147046,34951.7081679971,7.57,515332.0,0.28534226479240565
Malta,2022,10917,34563.3966270232,7.7,515332.0,0.02118440151203496
Mauritania,2020,34924,1836.29241098592,3.9199999999999995,4498604.0,0.0077632972362092776
Mauritania,2021,213778,1998.39400265586,4.03,4498604.0,0.04752096428136373
Mauritania,2022,19668,2057.38039245817,4.03,4498604.0,0.004372022965346583
Mauritius,2020,2713,9011.04288445023,8.14,1266014.0,0.002142946286533956
Mauritius,2021,40732,9068.97292976686,8.08,1266014.0,0.032173419883192445
Mauritius,2022,17292,10239.7970461095,8.14,1266014.0,0.013658616729356863
Mexico,2020,15017707,8895.61521605941,6.07,125998302.0,0.11918975701751917
Mexico,2021,85243244,10363.1927221972,5.57,125998302.0,0.6765427997593174
Mexico,2022,6617755,11476.6788057764,5.25,125998302.0,0.05252257288356156
Moldova,2020,295184,4375.7788930524,5.78,2635130.0,0.11201876188271546
Moldova,2021,2234593,5274.60582195352,6.1,2635130.0,0.8480010473866565
Moldova,2022,228728,5715.28022054154,6.23,2635130.0,0.086799512737512
Mongolia,2020,3,4041.1741456436694,6.480000000000001,3294335.0,9.106541987988471e-07
Mongolia,2021,269621,4566.14013029182,6.420000000000001,3294335.0,0.08184383191144799
Mongolia,2022,45705,5045.50472602069,6.35,3294335.0,0.013873816718700437
Montenegro,2020,45312,7677.37132106817,5.77,621306.0,0.07293024693146373
Montenegro,2021,580968,9465.96153027794,6.02,621306.0,0.9350754700582322
Montenegro,2022,54025,10093.4387007266,6.45,621306.0,0.08695393252278265
Morocco,2020,539218,3258.26904296875,5.04,36688772.0,0.014697084982838891
Morocco,2021,3980187,3767.52490234375,5.04,36688772.0,0.10848515180611659
Morocco,2022,328789,3441.9914550781305,5.04,36688772.0,0.008961570041101402
Mozambique,2020,12401,456.581918375225,3.5099999999999993,31178239.0,0.00039774536336064395
Mozambique,2021,442257,504.03775865468697,3.51,31178239.0,0.014184797287621023
Mozambique,2022,46088,558.298592504349,3.51,31178239.0,0.00147821049161885
Namibia,2020,17821,4252.04172014353,6.519999999999999,2489098.0,0.007159621678214357
Namibia,2021,711197,4901.87588947838,6.52,2489098.0,0.28572478865838147
Namibia,2022,82761,4895.68066089139,6.52,2489098.0,0.03324939395716842
Nepal,2020,128945,1139.18989468388,5.22,29348627.0,0.004393561579558731
Nepal,2021,2715794,1229.39420401521,4.41,29348627.0,0.09253564059402165
Nepal,2022,255475,1348.15718956035,4.49,29348627.0,0.008704836515861543
Netherlands,2020,1819728,52162.5701150406,8.96,17441500.0,0.10433322822004988
Netherlands,2021,6403822,58727.8705471475,8.88,17441500.0,0.3671600493076857
Netherlands,2022,474723,57025.01245598,9.0,17441500.0,0.027218014505633117
New Zealand,2020,5981,41785.6922905898,9.25,5090200.0,0.001175002946839024
New Zealand,2021,10492,49624.1816729553,9.37,5090200.0,0.0020612156693253702
New Zealand,2022,1134,48216.5095836302,9.61,5090200.0,0.0002227810302149228
Nicaragua,2020,28253,1877.1085553706203,3.6,6755895.0,0.004181977369393693
Nicaragua,2021,69689,2064.6646185055,2.69,6755895.0,0.010315287611782006
Nicaragua,2022,4796,2252.31020571776,2.5,6755895.0,0.0007098985404598502
Niger,2020,17306,564.841662320132,3.29,24333639.0,0.0007111965456543511
Niger,2021,71846,590.629494755814,3.2200000000000006,24333639.0,0.002952538253731799
Niger,2022,6265,588.899048266729,3.73,24333639.0,0.0002574625192721894
Nigeria,2020,212680,2074.61374785422,4.1,208327405.0,0.001020893050532646
Nigeria,2021,827562,2065.77441035114,4.11,208327405.0,0.003972410638917141
Nigeria,2022,67859,2162.6337321033,4.23,208327405.0,0.0003257324690431391
North Macedonia,2020,194153,6659.59651070776,5.89,1856124.0,0.10460130896427178
North Macedonia,2021,1939359,7620.80296977508,6.030000000000001,1856124.0,1.0448434479592958
North Macedonia,2022,177442,7485.603457941801,6.1,1856124.0,0.09559813891744301
Norway,2020,72511,68340.0181033702,9.81,5379475.0,0.013479196389982294
Norway,2021,289478,93072.8925119571,9.75,5379475.0,0.05381157083172614
Norway,2022,29984,108798.45116590102,9.81,5379475.0,0.005573778110317456
Oman,2020,174416,16707.6230063214,3.0,4543399.0,0.03838888021941282
Oman,2021,1074435,19509.4664633867,3.0,4543399.0,0.23648264218044684
Oman,2022,90632,25056.794860837803,3.12,4543399.0,0.019948060912105672
Pakistan,2020,1380284,1322.31478539554,4.31,227196741.0,0.006075280806954885
Pakistan,2021,7759449,1506.1082930591701,4.31,227196741.0,0.034152994298452546
Pakistan,2022,637931,1589.2639804971402,4.13,227196741.0,0.002807835170487767
Panama,2020,451068,13293.3331951688,7.18,4294396.0,0.10503642421425505
Panama,2021,2376286,15491.2898013383,6.85,4294396.0,0.5533458022967607
Panama,2022,164804,17357.6286293985,6.91,4294396.0,0.0383765260586122
Papua New Guinea,2020,966,2446.08468660615,6.1,9749640.0,9.908058143685306e-05
Papua New Guinea,2021,71657,2624.60410978363,6.1,9749640.0,0.007349707271242836
Papua New Guinea,2022,13054,3115.92292253449,5.97,9749640.0,0.0013389212319634366
Paraguay,2020,169871,5353.34806456279,6.18,6618695.0,0.025665331307757798
Paraguay,2021,3904744,5959.44179393627,5.86,6618695.0,0.5899567815105545
Paraguay,2022,367702,6187.0660296399,5.89,6618695.0,0.05555506032533604
Peru,2020,15276634,6047.47546434312,6.529999999999999,33304756.0,0.458692266053533
Peru,2021,62714056,6713.66205386496,6.09,33304756.0,1.8830360444616379
Peru,2022,4471905,7239.1113113089805,5.920000000000001,33304756.0,0.13427226429762765
Philippines,2020,1048249,3224.42281121767,6.56,112190977.0,0.009343434098091507
Philippines,2021,9811505,3460.53938172807,6.62,112190977.0,0.08745360154943654
Philippines,2022,1153443,3499.1072795080104,6.73,112190977.0,0.010281067433791934
Poland,2020,1422334,15816.819050318998,6.85,37899070.0,0.03752952249224058
Poland,2021,24394356,18050.2778862996,6.8,37899070.0,0.6436663485410065
Poland,2022,2215321,18732.4977273198,7.04,37899070.0,0.05845317576394355
Portugal,2020,615356,22242.406417972,7.9,10297081.0,0.059760236905973645
Portugal,2021,6070273,24661.1664874576,7.82,10297081.0,0.5895139603155496
Portugal,2022,422436,24515.2657495716,7.95,10297081.0,0.0410248302407255
Qatar,2020,41312,52315.660080622205,3.2400000000000007,2760385.0,0.014966028289532076
Qatar,2021,179203,66858.7417247523,3.65,2760385.0,0.06491956737918805
Qatar,2022,13704,87480.4197119462,3.65,2760385.0,0.004964524876058956
Romania,2020,1248293,13047.4566563993,6.4,19265250.0,0.0647950584601809
Romania,2021,12271936,14946.624968678,6.43,19265250.0,0.6369985336292029
Romania,2022,1300462,15692.3071700143,6.45,19265250.0,0.06750299113689155
Rwanda,2020,5360,773.931800619504,3.1,13146362.0,0.000407717359372882
Rwanda,2021,258925,822.26804122921,3.1,13146362.0,0.01969556292455662
Rwanda,2022,30554,966.571293318523,3.1,13146362.0,0.002324141081768477
Saudi Arabia,2020,869637,20398.0614331035,2.08,35997107.0,0.024158524739224183
Saudi Arabia,2021,2813031,24315.6153272971,2.08,35997107.0,0.07814602990179183
Saudi Arabia,2022,195754,30447.882317160096,2.08,35997107.0,0.005438048118700206
Senegal,2020,55512,1492.47590293523,5.67,16436120.0,0.003377439444345746
Senegal,2021,484530,1630.6950716579297,5.53,16436120.0,0.029479585206240888
Senegal,2022,41853,1594.98515311153,5.72,16436120.0,0.00254640389580996
Serbia,2020,206832,7733.803468937631,6.220000000000001,6899126.0,0.029979449570858685
Serbia,2021,2636494,9232.95770463789,6.36,6899126.0,0.3821489852482764
Serbia,2022,285422,9537.68431879504,6.329999999999999,6899126.0,0.041370747541065345
Sierra Leone,2020,15538,493.432240551423,4.86,8233970.0,0.001887060555236417
Sierra Leone,2021,36424,504.621287621531,4.97,8233970.0,0.00442362554150671
Sierra Leone,2022,2734,475.795727844622,5.03,8233970.0,0.00033203910142980846
Singapore,2020,6795,61466.803676358,6.029999999999999,5685807.0,0.0011950810148849582
Singapore,2021,59551,79601.4129622433,6.23,5685807.0,0.010473623181370736
Singapore,2022,18446,88428.7024226232,6.22,5685807.0,0.003244218454829719
Slovenia,2020,118309,25558.4290544506,7.540000000000001,2102419.0,0.05627279814347188
Slovenia,2021,1585305,29331.0647010043,7.54,2102419.0,0.7540385622466311
Slovenia,2022,124793,28439.3340989687,7.75,2102419.0,0.059356864640207306
South Africa,2020,2968151,5753.06649434631,7.05,58801927.0,0.05047710426224637
South Africa,2021,24393223,7073.6127541552505,7.05,58801927.0,0.41483713620473694
South Africa,2022,2039146,6766.481254283939,7.05,58801927.0,0.03467821726318595
Spain,2020,8720097,26984.2962770279,8.12,47365655.0,0.18410168718241096
Spain,2021,28644917,30488.820952879705,7.940000000000001,47365655.0,0.6047613402580414
Spain,2022,1990260,29674.5442864413,8.07,47365655.0,0.04201905367929568
Sri Lanka,2020,9248,3846.17449566736,6.139999999999999,21919000.0,0.00042191705825995714
Sri Lanka,2021,2108672,3999.33800155592,6.14,21919000.0,0.09620292896573748
Sri Lanka,2022,333307,3342.72012524497,6.47,21919000.0,0.015206305032163876
Sudan,2020,189498,608.33251953125,2.54,44440486.0,0.004264084780710994
Sudan,2021,931931,749.706787109375,2.47,44440486.0,0.02097031522112517
Sudan,2022,73857,1102.24536132813,2.47,44440486.0,0.0016619305198417498
Suriname,2020,15480,4796.53331389928,6.82,607065.0,0.025499740554965285
Suriname,2021,205290,5026.87949279073,6.82,607065.0,0.3381680709643943
Suriname,2022,26529,5858.82466074423,6.95,607065.0,0.04370042746658101
Sweden,2020,1438568,52837.9039778149,9.26,10353442.0,0.13894586940265855
Sweden,2021,5103122,61417.6808766469,9.26,10353442.0,0.4928913495627831
Sweden,2022,340095,56299.5057328064,9.39,10353442.0,0.032848496181269955
Switzerland,2020,694613,85897.7843338323,8.83,8638167.0,0.08041208279487998
Switzerland,2021,3883259,93446.4344518943,8.9,8638167.0,0.44954664571777786
Switzerland,2022,272987,93259.9057183024,9.14,8638167.0,0.03160242213423287
Tajikistan,2020,16024,852.330202064927,1.94,9543207.0,0.0016791001180211222
Tajikistan,2021,38942,916.691967061922,1.9400000000000002,9543207.0,0.004080598901396564
Tajikistan,2022,2750,1076.43469114729,1.94,9543207.0,0.0002881630881526514
Tanzania,2020,5282,1104.16442871094,5.1,61704518.0,8.560151138365589e-05
Tanzania,2021,74202,1146.03198242188,5.1,61704518.0,0.0012025375516262844
Tanzania,2022,16330,1193.35961914063,5.1,61704518.0,0.00026464836821187064
Thailand,2020,15557,7001.85028683673,6.040000000000001,71475664.0,0.00021765450125793865
Thailand,2021,2687749,7070.512507291119,6.04,71475664.0,0.03760369403493754
Thailand,2022,480949,6913.05080521119,6.670000000000001,71475664.0,0.006728849696310621
Togo,2020,8764,876.542972383418,2.8,8442580.0,0.0010380713004792374
Togo,2021,56718,964.9981099619649,2.8,8442580.0,0.006718088546392217
Togo,2022,5659,923.2403711502579,2.99,8442580.0,0.0006702927304212693
Trinidad and Tobago,2020,13090,13705.900228570998,7.160000000000001,1518147.0,0.008622353434812307
Trinidad and Tobago,2021,339736,16056.302040927298,7.16,1518147.0,0.22378333586931964
Trinidad and Tobago,2022,68232,19629.4653400829,7.16,1518147.0,0.04494426429061217
Tunisia,2020,225290,3493.89773765706,6.589999999999999,12161723.0,0.018524513344038505
Tunisia,2021,5980789,3817.37717375123,5.989999999999999,12161723.0,0.49177151954538023
Tunisia,2022,565940,3607.9102377307795,5.51,12161723.0,0.0465345247544283
Uganda,2020,16752,846.76720261962,4.94,44404611.0,0.0003772581185318795
Uganda,2021,614221,883.892026171965,4.48,44404611.0,0.013832369796010598
Uganda,2022,74209,964.3541465266661,4.55,44404611.0,0.0016712003174625266
Ukraine,2020,1240038,3751.7373046875,5.81,44207754.0,0.02805023752168002
Ukraine,2021,19421018,4827.845703125,5.57,44207754.0,0.43931247898275944
Ukraine,2022,2288717,4575.97509765625,5.42,44207754.0,0.051771845274021386
United Arab Emirates,2020,99619,37629.1741680652,2.7,9287289.0,0.010726380970808597
United Arab Emirates,2021,623527,44332.3400499381,2.9,9287289.0,0.06713767602149562
United Arab Emirates,2022,48022,53707.980081380105,2.9,9287289.0,0.005170723124907602
United Kingdom,2020,11467694,40217.0090116986,8.54,67081234.0,0.17095234115699184
United Kingdom,2021,46867751,46869.759058411,8.1,67081234.0,0.698671568862314
United Kingdom,2022,3331595,45564.1569448013,8.28,67081234.0,0.049665082189752206
Uruguay,2020,12265,15651.0033775375,8.61,3429086.0,0.003576754855375456
Uruguay,2021,1470792,17733.8551643902,8.85,3429086.0,0.42891662676293335
Uruguay,2022,136757,20499.2422244452,8.91,3429086.0,0.03988147278895893
Uzbekistan,2020,75614,1759.30747053678,2.12,34232050.0,0.002208865668284546
Uzbekistan,2021,332793,1993.42447787206,2.12,34232050.0,0.009721678952911088
Uzbekistan,2022,33099,2276.16123306477,2.12,34232050.0,0.0009669009013482979
Zambia,2020,53042,958.264900505992,4.86,18927715.0,0.00280234566084707
Zambia,2021,849928,1134.71345415843,5.719999999999999,18927715.0,0.04490388829290805
Zambia,2022,84084,1456.90157026157,5.8,18927715.0,0.004442374581400872
Zimbabwe,2020,36683,1372.69667433317,3.16,15669666.0,0.0023410199043170416
Zimbabwe,2021,1029500,1773.92041088078,2.92,15669666.0,0.06570018786616129
Zimbabwe,2022,113949,1676.82148896788,2.92,15669666.0,0.007271948234250813
